bowler,avg_last_5,avg_last_10
A Ashish Reddy,0.8,0.7
A Chandila,0.6,1.0
A Kumble,0.8,0.8
A Mishra,0.8,1.3
A Mithun,0.4,0.4
A Nehra,1.8,1.8
A Nortje,1.2,1.3
A Singh,1.2,1.4
A Symonds,0.4,0.5
A Zampa,1.6,1.2
AA Chavan,0.4,0.8
AB Agarkar,0.2,0.7
AB Dinda,1.2,1.1
AC Thomas,1.0,1.1
AD Mascarenhas,1.8,1.4
AD Mathews,0.4,0.6
AD Russell,1.4,1.1
AG Murtaza,0.4,0.8
AJ Tye,1.2,0.8
AK Markram,0.2,0.1
AL Menaria,0.2,0.3
AM Nayar,0.6,0.4
AN Ahmed,0.6,0.8
AR Patel,0.8,0.8
AS Joseph,0.2,0.8
AS Rajpoot,0.4,0.7
Abhishek Sharma,0.0,0.2
Akash Madhwal,1.2,1.9
Ankit Sharma,0.2,0.8
Anureet Singh,0.6,0.8
Arshdeep Singh,1.6,1.4
Avesh Khan,1.6,1.6
Azhar Mahmood,1.4,1.3
B Akhil,0.6,0.5
B Kumar,0.6,0.8
B Lee,0.8,0.8
BA Bhatt,0.2,0.8
BA Stokes,0.4,0.4
BB Sran,0.8,0.7
BCJ Cutting,0.4,0.3
BJ Hodge,1.4,1.1
BW Hilfenhaus,1.4,1.3
Basil Thampi,0.8,0.5
Bipul Sharma,0.4,0.6
C Green,0.8,0.8
C Sakariya,1.2,1.1
C de Grandhomme,0.2,0.3
CH Gayle,0.4,0.5
CH Morris,1.4,1.7
CJ Anderson,0.8,0.8
CJ Jordan,0.6,0.8
CR Brathwaite,1.2,1.1
CR Woakes,1.4,1.8
CV Varun,2.4,1.6
D Wiese,1.0,0.9
DE Bollinger,1.8,1.4
DJ Bravo,2.2,1.8
DJ Hooda,0.2,0.3
DJ Hussey,0.0,0.3
DJ Willey,1.0,0.7
DJG Sammy,0.0,0.5
DL Chahar,0.4,1.1
DL Vettori,0.6,0.8
DP Nannes,1.2,1.0
DR Sams,1.4,1.3
DR Smith,0.2,0.3
DS Kulkarni,0.6,0.5
DT Christian,0.8,0.5
DW Steyn,0.8,0.6
GB Hogg,0.8,1.4
GD McGrath,1.0,1.2
GJ Maxwell,1.0,0.7
HH Pandya,1.8,1.3
HR Shokeen,0.6,0.5
HV Patel,2.2,2.2
Harbhajan Singh,0.6,1.2
Harmeet Singh,0.8,1.1
Harpreet Brar,0.4,0.3
Harshit Rana,1.8,1.8
I Sharma,1.0,1.3
IC Pandey,1.4,1.1
IK Pathan,0.2,0.3
Imran Tahir,0.8,1.1
Iqbal Abdulla,1.2,0.9
J Botha,0.4,0.7
J Little,0.8,0.9
J Suchith,1.2,1.2
J Syed Mohammad,1.0,1.0
J Yadav,0.6,0.5
JA Morkel,1.2,0.9
JC Archer,1.0,1.1
JD Ryder,0.2,0.6
JD Unadkat,0.8,0.9
JDP Oram,0.6,0.9
JDS Neesham,1.4,0.8
JEC Franklin,0.8,0.7
JH Kallis,0.6,0.8
JJ Bumrah,1.0,1.5
JO Holder,0.2,0.6
JP Behrendorff,1.2,1.7
JP Duminy,0.2,0.3
JP Faulkner,1.6,1.1
JR Hazlewood,2.0,1.6
JR Hopes,0.8,0.8
Joginder Sharma,0.4,0.6
K Gowtham,0.6,0.8
K Kartikeya,0.6,0.9
K Rabada,0.8,1.1
KA Pollard,0.8,0.8
KC Cariappa,0.8,0.8
KH Pandya,0.4,0.5
KK Ahmed,1.2,1.1
KK Cooper,0.8,1.3
KL Nagarkoti,0.2,0.5
KP Appanna,1.2,0.9
KP Pietersen,0.6,0.5
KR Sen,0.8,1.1
KV Sharma,0.6,0.9
KW Richardson,2.0,1.6
Kartik Tyagi,0.4,0.7
Kuldeep Yadav,1.0,1.5
L Balaji,1.2,1.5
L Ngidi,2.4,2.4
LH Ferguson,1.4,1.0
LR Shukla,0.4,0.4
LS Livingstone,0.6,0.8
Lalit Yadav,0.6,0.5
M Ashwin,1.0,0.9
M Jansen,1.0,1.1
M Kartik,1.0,0.9
M Markande,1.0,0.9
M Morkel,0.4,0.8
M Muralitharan,1.0,0.7
M Pathirana,2.2,2.2
M Prasidh Krishna,1.0,1.3
M Theekshana,0.4,0.6
MA Starc,1.8,1.7
MC Henriques,0.8,0.4
MF Maharoof,1.4,1.7
MG Johnson,0.4,1.1
MJ McClenaghan,1.0,1.0
MJ Santner,0.8,0.7
MK Lomror,0.2,0.2
MM Ali,0.4,0.5
MM Patel,0.8,0.9
MM Sharma,0.8,1.3
MN Samuels,1.2,1.0
MP Stoinis,0.8,0.8
MR Marsh,1.0,1.2
MS Gony,0.6,0.8
Mohammad Nabi,0.2,0.3
Mohammed Shami,1.8,1.8
Mohammed Siraj,1.6,1.1
Mohsin Khan,0.6,1.0
Mujeeb Ur Rahman,0.2,0.8
Mukesh Choudhary,1.0,1.4
Mukesh Kumar,2.4,2.1
Mustafizur Rahman,1.4,1.5
N Rana,0.6,0.3
NLTC Perera,0.0,0.9
NM Coulter-Nile,1.4,1.3
NT Ellis,1.2,1.3
Navdeep Saini,0.6,0.7
Naveen-ul-Haq,1.6,1.7
Noor Ahmad,1.0,1.0
P Awana,1.6,1.3
P Kumar,0.8,0.8
P Negi,0.8,1.4
PJ Cummins,1.0,1.1
PJ Sangwan,0.8,0.8
PP Chawla,1.4,1.0
PP Ojha,0.6,0.5
PV Tambe,0.6,0.6
PVD Chameera,0.4,0.9
PWH de Silva,1.0,1.0
Pankaj Singh,1.0,0.9
Parvez Rasool,0.4,0.4
R Ashwin,1.4,0.8
R Bhatia,0.8,0.7
R Dhawan,0.2,0.7
R McLaren,1.0,0.7
R Parag,0.2,0.2
R Rampaul,0.8,1.3
R Sathish,0.6,0.4
R Sharma,0.6,0.8
R Tewatia,0.2,0.3
R Vinay Kumar,1.6,1.3
RA Jadeja,0.8,0.7
RD Chahar,1.6,1.1
RE van der Merwe,1.4,1.5
RG Sharma,0.2,0.1
RJ Harris,0.8,1.4
RP Meredith,1.2,1.3
RP Singh,0.4,0.9
RR Powar,0.4,0.5
RS Bopara,1.2,1.3
Rashid Khan,0.4,0.8
Rasikh Salam,1.8,0.9
Ravi Bishnoi,0.6,0.7
S Aravind,0.4,0.7
S Badree,1.0,1.1
S Dube,0.0,0.3
S Gopal,0.6,0.7
S Kaul,0.8,1.0
S Nadeem,0.6,0.9
S Sreesanth,1.0,0.9
S Tyagi,0.2,0.3
SB Jakati,0.2,0.4
