batter,avg_last_5,avg_last_10
A Ashish Reddy,18.0,14.0
A Badoni,20.0,21.2
A Kumble,1.2,2.1
A Manohar,14.8,12.9
A Mishra,4.4,6.3
A Nehra,0.2,1.3
A Nortje,6.4,4.5
A Symonds,7.2,15.2
AA Jhunjhunwala,5.6,8.1
AB Agarkar,6.6,10.9
AB Dinda,2.4,1.5
AB de Villiers,14.4,17.7
AC Gilchrist,37.2,26.5
AD Mascarenhas,5.2,7.4
AD Mathews,10.4,11.8
AD Russell,16.6,20.7
AJ Finch,20.8,26.7
AJ Tye,3.0,5.7
AK Markram,14.6,20.0
AL Menaria,19.8,18.0
AM Nayar,8.8,5.4
AM Rahane,9.8,18.2
AP Tare,6.6,6.2
AR Patel,32.8,20.0
AS Raut,17.8,12.3
AT Rayudu,11.2,12.7
Abdul Samad,9.8,16.3
Abhishek Sharma,33.4,30.5
Abishek Porel,32.6,23.7
Anuj Rawat,19.2,16.3
Arshdeep Singh,2.6,2.5
Azhar Mahmood,32.2,19.6
B Akhil,5.2,6.3
B Chipli,8.4,10.0
B Kumar,10.0,6.6
B Lee,9.8,5.6
B Sai Sudharsan,39.6,37.9
BA Stokes,41.0,29.2
BB McCullum,24.4,18.4
BCJ Cutting,11.2,13.6
BJ Hodge,29.0,22.8
Bipul Sharma,15.0,13.5
C Green,30.8,21.0
C Munro,16.6,15.0
C de Grandhomme,17.0,16.3
CA Ingram,9.6,12.5
CA Lynn,38.4,36.8
CA Pujara,21.2,19.8
CH Gayle,20.6,20.8
CH Morris,12.0,9.2
CJ Anderson,5.4,11.6
CJ Jordan,9.4,7.6
CL White,21.4,16.3
CM Gautam,16.2,15.1
CR Brathwaite,16.2,11.6
CR Woakes,5.0,5.4
D Padikkal,7.6,10.7
D Wiese,6.8,14.0
DA Miller,23.4,20.4
DA Warner,17.8,35.3
DB Das,13.4,10.8
DB Ravi Teja,19.6,14.9
DH Yagnik,11.6,13.1
DJ Bravo,2.2,6.5
DJ Hooda,18.0,15.4
DJ Hussey,29.6,24.8
DJ Mitchell,33.6,26.8
DJG Sammy,10.6,11.5
DL Chahar,1.6,6.5
DL Vettori,5.4,5.2
DP Conway,42.2,52.7
DPMD Jayawardene,14.6,21.7
DR Sams,4.6,4.1
DR Smith,19.0,18.5
DS Kulkarni,3.0,4.2
DT Christian,0.8,3.5
DW Steyn,4.4,4.8
Dhruv Jurel,17.8,13.9
E Lewis,21.4,22.3
EJG Morgan,4.4,8.4
F du Plessis,31.4,35.6
FY Fazal,13.2,16.7
G Gambhir,18.6,19.2
GC Smith,16.0,15.0
GH Vihari,8.2,11.3
GJ Bailey,17.4,14.7
GJ Maxwell,4.2,6.8
Gurkeerat Singh,26.8,26.3
H Klaasen,33.6,28.6
HC Brook,10.4,19.0
HH Gibbs,23.0,27.1
HH Pandya,11.8,16.5
HM Amla,37.2,34.6
HV Patel,3.8,4.3
Harbhajan Singh,6.4,4.4
Harpreet Brar,11.2,8.2
I Sharma,3.6,2.4
IK Pathan,7.0,9.0
Iqbal Abdulla,11.8,8.2
Ishan Kishan,22.8,25.6
J Botha,10.8,8.2
JA Morkel,20.6,16.4
JC Archer,4.6,8.7
JC Buttler,39.0,33.8
JD Ryder,20.6,23.4
JD Unadkat,5.8,8.8
JDP Oram,7.4,10.6
JEC Franklin,12.4,20.7
JH Kallis,13.8,20.9
JJ Bumrah,2.2,1.8
JJ Roy,27.2,35.4
JM Bairstow,40.6,28.4
JM Sharma,9.8,14.6
JO Holder,3.2,5.9
JP Duminy,19.4,28.1
JP Faulkner,9.2,12.3
JR Hopes,31.8,20.4
K Goel,14.4,14.2
K Gowtham,10.6,10.7
K Rabada,3.0,3.2
KA Pollard,14.4,12.9
KC Sangakkara,11.6,13.3
KD Karthik,12.8,24.9
KH Pandya,12.6,12.1
KK Cooper,14.8,10.3
KK Nair,4.8,11.6
KL Rahul,32.6,37.2
KM Jadhav,11.0,11.7
KP Pietersen,35.0,31.1
KR Mayers,23.6,23.5
KS Williamson,18.8,19.2
KV Sharma,6.0,7.8
Kuldeep Yadav,8.2,6.2
L Balaji,2.6,3.3
LA Pomersbach,15.0,13.2
LMP Simmons,13.6,32.3
LR Shukla,3.2,6.2
